model_name,holdout_Sensitivity,holdout_Specificity,holdout_Precision,holdout_Accuracy,holdout_TP,holdout_FP,holdout_FN,holdout_TN,cv_AUC,cv_Sensitivity,cv_Specificity,cv_Precision,cv_Accuracy,best_params
logit_baseline_smote,0.370114942528736,0.876492771841609,0.290613718411552,0.815593032900194,161,393,274,2789,0.81918929077747,0.572473404255319,0.889627758442408,0.756850111620383,0.770694868133703,parameter:1
rf_baseline_smote,0.347126436781609,0.936203645505971,0.426553672316384,0.865358031517832,151,203,284,2979,0.967568031056763,0.821054964539007,0.98039891350841,0.961731936954306,0.920644915819327,"mtry:15, splitrule:1, min.node.size:5"
xgb_baseline_smote,0.2,0.978944060339409,0.564935064935065,0.885264030964888,87,67,348,3115,0.952269129483294,0.802792553191489,0.982872334742784,0.965667140262875,0.915342390602141,"nrounds:500, max_depth:1, eta:0.4, gamma:10, colsample_bytree:0.5, min_child_weight:5, subsample:0.9"
rf_scaled,0.963218390804598,0.0615964802011314,0.123054331864905,0.1700304119436,419,2986,16,196,0.967792310391718,0.822429078014184,0.979734101938968,0.960567583631476,0.92074469213547,"mtry:15, splitrule:1, min.node.size:5"
xgb_scaled,1,0.000942803268384664,0.120365246264527,0.121094829969588,435,3179,0,3,0.952472918965884,0.80709219858156,0.981994634850129,0.964143366465494,0.916406185852761,"nrounds:500, max_depth:1, eta:0.4, gamma:10, colsample_bytree:0.5, min_child_weight:5, subsample:0.9"
logit_drop_day,0.358620689655172,0.882463859208045,0.294339622641509,0.819463643903788,156,374,279,2808,0.810754101900545,0.557845744680851,0.89130311423828,0.754843452201115,0.766256574759246,parameter:1
logit_drop_pdays,0.36551724137931,0.881521055939661,0.296641791044776,0.819463643903788,159,377,276,2805,0.817682686472333,0.570345744680851,0.887367057897633,0.752528063489889,0.768484098237374,parameter:1
logit_cluster,0.381609195402299,0.87806411062225,0.299638989169675,0.818357755045618,166,388,269,2794,0.816138821781345,0.569281914893617,0.890425520442849,0.757122179660327,0.769996709942017,parameter:1
logit_numerical_combination,0.379310344827586,0.877749842866122,0.297833935018051,0.817804810616533,165,389,270,2793,0.824779246403472,0.58209219858156,0.890372331782672,0.761084747097742,0.774767296503699,parameter:1
logit_cluster_num_comb,0.379310344827586,0.878378378378378,0.298913043478261,0.818357755045618,165,387,270,2795,0.826696044208768,0.586613475177305,0.890212744582694,0.762231612617434,0.776363051132146,parameter:1
rf_drop_day,0.340229885057471,0.936203645505971,0.421652421652422,0.864528614874205,148,203,287,2979,0.963956014289903,0.821852836879433,0.978962770878891,0.959084955554868,0.920046525654855,"mtry:15, splitrule:1, min.node.size:5"
rf_drop_pdays,0.319540229885058,0.937774984286612,0.412462908011869,0.863422726016036,139,198,296,2984,0.967406217016442,0.822118794326241,0.981170233958765,0.963225190067815,0.921525979159781,"mtry:15, splitrule:1, min.node.size:5"
rf_cluster,1,0.000942803268384664,0.120365246264527,0.121094829969588,435,3179,0,3,0.965972032717767,0.823581560283688,0.976303195699728,0.954240614032756,0.91903260654336,"mtry:15, splitrule:1, min.node.size:5"
rf_numerical_comb,0.28735632183908,0.954431175361408,0.462962962962963,0.874205142383191,125,145,310,3037,0.970502950318283,0.816179078014184,0.984760706178538,0.969812803759513,0.921542620841048,"mtry:15, splitrule:1, min.node.size:5"
rf_tuned,0.347126436781609,0.936203645505971,0.426553672316384,0.865358031517832,151,203,284,2979,0.970284309283679,0.824601063829787,0.979574442592878,0.960350941732951,0.92145945885271,"mtry:15, splitrule:1, min.node.size:1"
